# Nacc, Ndble, Tau, delT(iChan), ... V(iChan)
29775, 79, 1.608,   0, 1.608, 0,   0, 0.143, 0
30381, 80, 1.024,   1.024, 0, 0,   0.116, 0, 0
30411, 81, 3.288,   0, 3.288, 0,   0, 0.0943, 0
30692, 82, 0.452,   0.452, 0, 0.452,   0.116, 0, 0.191
30875, 83, 7.881,   7.884, 7.88, 7.88,   0.113, 0.0771, 0.103
30891, 84, 4.632,   0, 4.632, 0,   0, 0.16, 0
30897, 85, 7.299,   0, 0, 7.299,   0, 0, 0.267
31095, 86, 3.952,   0, 0, 3.952,   0, 0, 0.348
31517, 87, 5.537,   0, 5.537, 0,   0, 0.215, 0
32157, 88, 4.148,   4.148, 4.148, 4.148,   0.134, 0.165, 0.0984
32571, 89, 1.332,   1.332, 1.332, 0,   0.151, 0.191, 0
32952, 90, 0.716,   0, 0, 0.716,   0, 0, 0.225
33731, 91, 1.248,   1.248, 1.248, 1.248,   0.0773, 0.0787, 0.089
34109, 92, 1.272,   0, 0, 1.272,   0, 0, 0.134
34608, 93, 5.312,   0, 5.312, 0,   0, 0.0803, 0
34840, 94, 0.2307,   0.232, 0.228, 0.232,   0.115, 0.113, 0.0858
35237, 95, 0.282,   0.28, 0.284, 0,   0.102, 0.115, 0
35477, 96, 2.982,   0, 2.982, 0,   0, 0.0834, 0
35794, 97, 1.188,   0, 1.188, 1.188,   0, 0.238, 0.0968
36269, 98, 0.732,   0, 0, 0.732,   0, 0, 0.078
37468, 99, 2.624,   2.624, 0, 0,   0.11, 0, 0
37620, 100, 1.303,   1.301, 1.305, 1.301,   0.121, 0.0834, 0.105
37779, 101, 0.842,   0.844, 0.84, 0,   0.242, 0.166, 0
38051, 102, 4.172,   0, 0, 4.172,   0, 0, 0.172
38194, 103, 0.764,   0, 0, 0.764,   0, 0, 0.348
38326, 104, 0.176,   0.176, 0.176, 0.176,   0.132, 0.138, 0.133
38548, 105, 5.64,   0, 0, 5.64,   0, 0, 0.156
39479, 106, 3.344,   3.344, 3.344, 0,   0.0851, 0.0928, 0
40112, 107, 0.664,   0, 0, 0.664,   0, 0, 0.108
40334, 108, 0.968,   0, 0, 0.968,   0, 0, 0.0686
40673, 109, 0.3633,   0, 0.3613, 0.3653,   0, 0.191, 0.163
40707, 110, 0.344,   0.344, 0.344, 0.344,   0.228, 0.198, 0.15
40930, 111, 0.724,   0, 0, 0.724,   0, 0, 0.105
41801, 112, 3.192,   0, 0, 3.192,   0, 0, 0.348
42068, 113, 1.94,   1.94, 1.94, 0,   0.131, 0.11, 0
42331, 114, 1.767,   0, 0, 1.767,   0, 0, 0.134
42625, 115, 0.3093,   0, 0, 0.3093,   0, 0, 0.206
43006, 116, 8.084,   8.084, 8.084, 0,   0.116, 0.0943, 0
43206, 117, 3.396,   0, 3.396, 0,   0, 0.0693, 0
43247, 118, 0.702,   0, 0.7, 0.704,   0, 0.354, 0.108
43713, 119, 1.465,   1.465, 0, 0,   0.116, 0, 0
43761, 120, 2.518,   0, 2.518, 0,   0, 0.358, 0
44213, 121, 1.494,   0, 1.494, 0,   0, 0.34, 0
44277, 122, 7.583,   0, 0, 7.583,   0, 0, 0.153
44359, 123, 1.244,   0, 0, 1.244,   0, 0, 0.0749
44566, 124, 3.966,   0, 0, 3.966,   0, 0, 0.0952
44658, 125, 9.036,   9.036, 0, 0,   0.0757, 0, 0
44880, 126, 7.113,   0, 0, 7.113,   0, 0, 0.178
45401, 127, 1.402,   0, 1.4, 1.404,   0, 0.104, 0.224
45517, 128, 1.735,   0, 0, 1.735,   0, 0, 0.134
45526, 129, 0.298,   0.298, 0, 0,   0.127, 0, 0
45846, 130, 1.069,   1.071, 1.067, 0,   0.0961, 0.0928, 0
45965, 131, 3.818,   3.82, 3.816, 0,   0.0851, 0.0849, 0
46314, 132, 3.324,   0, 3.324, 3.324,   0, 0.105, 0.0655
46543, 133, 6.432,   0, 6.432, 6.432,   0, 0.146, 0.089
46944, 134, 1.453,   1.452, 1.452, 1.456,   0.19, 0.0803, 0.0921
50335, 135, 1.862,   0, 1.862, 0,   0, 0.301, 0
50508, 136, 5.173,   0, 0, 5.173,   0, 0, 0.0968
50550, 137, 2.547,   0, 2.547, 2.547,   0, 0.11, 0.112
50627, 138, 0.2187,   0.2187, 0.2187, 0,   0.168, 0.0912, 0
52349, 139, 0.556,   0, 0, 0.556,   0, 0, 0.214
52718, 140, 3.046,   0, 3.044, 3.048,   0, 0.119, 0.119
52757, 141, 2.65,   2.65, 2.65, 0,   0.112, 0.104, 0
52911, 142, 0.8053,   0, 0, 0.8053,   0, 0, 0.136
54634, 143, 1.208,   0, 0, 1.208,   0, 0, 0.183
54787, 144, 4.871,   0, 0, 4.871,   0, 0, 0.0811
55752, 145, 5.77,   0, 5.77, 0,   0, 0.099, 0
56000, 146, 0.886,   0.888, 0.884, 0,   0.0992, 0.118, 0
56135, 147, 0.832,   0.832, 0.832, 0,   0.207, 0.173, 0
56876, 148, 0.564,   0.564, 0.564, 0,   0.334, 0.188, 0
57662, 149, 0.6,   0, 0, 0.6,   0, 0, 0.089
57724, 150, 0.872,   0.872, 0.872, 0.872,   0.129, 0.166, 0.127
57941, 151, 5.464,   0, 0, 5.464,   0, 0, 0.13
58004, 152, 7.014,   0, 0, 7.014,   0, 0, 0.089
58144, 153, 0.2693,   0.268, 0.268, 0.272,   0.121, 0.11, 0.116
58370, 154, 3.078,   0, 3.078, 0,   0, 0.118, 0
58685, 155, 1.752,   0, 1.752, 0,   0, 0.358, 0
59209, 156, 1.824,   0, 0, 1.824,   0, 0, 0.089
59305, 157, 0.168,   0.168, 0, 0,   0.174, 0, 0
60053, 158, 14.33,   0, 0, 14.33,   0, 0, 0.348
62193, 159, 0.3587,   0, 0.3587, 0.3587,   0, 0.173, 0.117
62572, 160, 5.461,   5.46, 5.464, 5.46,   0.0898, 0.0756, 0.0764
63328, 161, 1.16,   0, 1.16, 1.16,   0, 0.183, 0.0921
63967, 162, 1.576,   1.576, 0, 0,   0.176, 0, 0
64091, 163, 3.34,   0, 3.34, 0,   0, 0.157, 0
64188, 164, 0.384,   0, 0, 0.384,   0, 0, 0.348
65049, 165, 1.628,   1.628, 0, 0,   0.106, 0, 0
65290, 166, 0.356,   0.356, 0, 0,   0.176, 0, 0
65328, 167, 1.604,   0, 1.604, 1.604,   0, 0.358, 0.152
65417, 168, 3.023,   0, 3.023, 3.023,   0, 0.0724, 0.184
65964, 169, 2.78,   2.78, 2.78, 2.78,   0.121, 0.162, 0.128
65996, 170, 0.644,   0, 0.644, 0.644,   0, 0.0912, 0.169
66280, 171, 9.588,   9.588, 9.588, 9.588,   0.102, 0.104, 0.0827
66941, 172, 4.399,   0, 0, 4.399,   0, 0, 0.291
68153, 173, 5.754,   5.754, 0, 0,   0.17, 0, 0
68311, 174, 1.61,   1.61, 0, 0,   0.11, 0, 0
68356, 175, 1.332,   0, 1.332, 1.332,   0, 0.138, 0.108
68497, 176, 4.37,   0, 4.368, 4.372,   0, 0.0928, 0.123
68564, 177, 2.034,   0, 2.032, 2.036,   0, 0.0928, 0.0733
68585, 178, 1.504,   1.505, 1.505, 1.501,   0.0992, 0.127, 0.116
68743, 179, 3.552,   3.552, 3.552, 0,   0.113, 0.112, 0
69141, 180, 3.107,   0, 0, 3.107,   0, 0, 0.108
69277, 181, 0.784,   0, 0, 0.784,   0, 0, 0.0984
70139, 182, 0.212,   0, 0, 0.212,   0, 0, 0.0905
71100, 183, 8.192,   8.192, 8.192, 0,   0.0914, 0.0865, 0
71296, 184, 2.776,   0, 2.776, 0,   0, 0.0834, 0
71456, 185, 2.763,   2.764, 2.76, 2.764,   0.0883, 0.0818, 0.0671
71637, 186, 0.3,   0, 0, 0.3,   0, 0, 0.319
72438, 187, 2.879,   0, 0, 2.879,   0, 0, 0.199
73447, 188, 2.113,   0, 0, 2.113,   0, 0, 0.348
73490, 189, 0.3007,   0, 0.3027, 0.2987,   0, 0.104, 0.089
73843, 190, 0.892,   0, 0, 0.892,   0, 0, 0.117
74441, 191, 0.2347,   0.2347, 0, 0,   0.138, 0, 0
74891, 192, 3.244,   0, 0, 3.244,   0, 0, 0.139
74991, 193, 3.77,   3.77, 3.77, 0,   0.093, 0.144, 0
75494, 194, 10.25,   0, 10.25, 10.25,   0, 0.0834, 0.0811
75664, 195, 11.79,   0, 0, 11.79,   0, 0, 0.101
75854, 196, 1.488,   0, 0, 1.488,   0, 0, 0.133
76562, 197, 4.188,   0, 0, 4.188,   0, 0, 0.167
77178, 198, 0.356,   0, 0.356, 0,   0, 0.158, 0
77287, 199, 3.553,   3.553, 3.553, 0,   0.167, 0.23, 0
77302, 200, 0.432,   0, 0, 0.432,   0, 0, 0.0984
77742, 201, 7.941,   7.941, 7.941, 7.941,   0.138, 0.137, 0.0937
77811, 202, 2.487,   0, 2.487, 0,   0, 0.193, 0
78250, 203, 0.6307,   0, 0.6307, 0,   0, 0.19, 0
78311, 204, 0.412,   0, 0, 0.412,   0, 0, 0.119
78355, 205, 2.488,   0, 0, 2.488,   0, 0, 0.105
79179, 206, 0.56,   0, 0, 0.56,   0, 0, 0.3
79232, 207, 1.456,   0, 0, 1.456,   0, 0, 0.0639
79939, 208, 4.916,   0, 0, 4.916,   0, 0, 0.0749
79958, 209, 2.6,   0, 0, 2.6,   0, 0, 0.0968
80379, 210, 2.216,   0, 0, 2.216,   0, 0, 0.18
80551, 211, 4.7,   0, 4.7, 0,   0, 0.0677, 0
80721, 212, 1.232,   0, 0, 1.232,   0, 0, 0.141
81052, 213, 1.795,   0, 1.795, 1.795,   0, 0.219, 0.133
81396, 214, 2.288,   2.288, 0, 0,   0.0726, 0, 0
81442, 215, 6.082,   0, 6.082, 0,   0, 0.358, 0
